Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Golos,Remates à baliza,Taxa
FC Porto,7,15,0,0,1,32,0,1,1,35,0,0,1,14,5,10,11,4,0,35,35,14,35,330,"10,6 %"
Sporting CP,2,11,0,0,0,35,1,0,1,40,1,0,4,14,8,17,14,3,0,46,44,12,46,396,"11,6 %"
SL Benfica,2,15,0,0,2,31,1,1,2,39,0,1,3,14,4,8,11,8,0,33,33,11,33,315,"10,5 %"
GD Estoril Praia,1,1,0,0,1,44,0,0,0,44,6,4,11,10,1,10,10,2,0,27,23,10,27,274,"9,9 %"
CF Estrela Amadora,1,2,0,0,0,35,1,1,2,43,6,3,10,4,3,5,7,3,1,20,20,8,20,256,"7,8 %"
Casa Pia AC,1,2,0,0,0,48,1,0,1,53,8,4,13,6,4,5,3,1,0,16,15,11,16,180,"8,9 %"
Gil Vicente FC,0,3,5,0,0,40,2,1,3,53,3,2,5,11,3,8,4,2,2,21,21,8,21,289,"7,3 %"
SC Braga,0,1,2,0,0,28,0,0,0,28,4,3,7,10,5,4,8,7,0,28,25,11,28,295,"9,5 %"
FC Famalicão,0,0,1,1,0,42,0,1,1,45,5,1,6,10,6,6,4,0,1,20,19,10,20,267,"7,5 %"
Vitória SC,0,0,1,1,0,36,2,0,2,46,6,1,9,7,5,2,5,2,0,16,16,11,16,285,"5,6 %"
Moreirense FC,0,1,5,0,1,39,1,1,2,47,6,2,9,9,6,4,9,0,0,21,21,12,21,200,"10,5 %"
Rio Ave FC,0,1,2,0,0,38,1,3,4,52,4,3,8,9,2,2,9,2,0,19,18,4,19,186,"10,2 %"
FC Alverca,0,0,3,3,0,32,1,2,3,43,9,1,11,6,2,1,6,2,0,16,15,8,16,188,"8,5 %"
CD Nacional,0,2,1,0,0,33,2,3,5,52,7,2,11,9,3,6,3,4,0,17,17,5,17,249,"6,8 %"
CD Santa Clara,0,1,2,0,1,41,1,2,3,52,7,2,9,6,2,1,3,5,0,11,11,6,11,238,"4,6 %"
FC Arouca,0,3,2,0,0,31,3,3,6,55,8,2,11,7,4,4,9,0,0,17,17,7,17,210,"8,1 %"
CD Tondela,0,0,3,3,0,40,2,1,3,53,10,2,12,6,0,2,2,4,0,9,9,6,9,264,"3,4 %"
Avs - Futebol SAD,0,1,15,0,0,30,2,1,3,43,11,3,14,4,0,5,6,0,0,11,11,9,11,224,"4,9 %"
