Clube,Plantel,ø-Idade,Estrangeiros,ø-valor de mercado,Valor de mercado total,Hidden_Col_1
Sporting CP,25,"25,3",13,"18,26 M €","456,50 M €",
FC Porto,26,"25,1",19,"15,07 M €","391,80 M €",
SL Benfica,26,"24,4",16,"13,73 M €","357,00 M €",
SC Braga,27,"25,3",16,"5,00 M €","135,00 M €",
FC Famalicão,27,"23,8",19,"2,31 M €","62,30 M €",
Rio Ave FC,30,"24,3",28,"1,42 M €","42,58 M €",
CD Santa Clara,23,"27,0",17,"1,83 M €","41,98 M €",
GD Estoril Praia,26,"25,8",15,"1,55 M €","40,25 M €",
FC Alverca,31,"24,0",24,956 mil €,"29,63 M €",
Gil Vicente FC,25,"24,5",17,"1,15 M €","28,70 M €",
Casa Pia AC,31,"26,7",22,902 mil €,"27,95 M €",
Moreirense FC,26,"25,7",16,"1,05 M €","27,20 M €",
Vitória SC,26,"24,3",16,"1,02 M €","26,45 M €",
FC Arouca,26,"24,7",20,935 mil €,"24,30 M €",
CD Tondela,27,"26,2",19,834 mil €,"22,53 M €",
CD Nacional,31,"26,0",23,599 mil €,"18,58 M €",
Avs - Futebol SAD,30,"27,2",20,557 mil €,"16,70 M €",
CF Estrela Amadora,28,"24,6",21,480 mil €,"13,45 M €",
Vangelis PavlidisPonta de Lança,,Vangelis Pavlidis,Ponta de Lança,26,,9
